idx,Model ID,Mean,ade_corpus_v2,anli,aqua_rat,arc_challenge,arc_easy,banking77,boolean_expressions,circa,clinc_oos,commonsense_qa,cryptonews_articles,disfl_qa,elementary_math_qa_question_only,formal_fallacies_syllogisms_negation,glue_cola,glue_mnli,glue_mrpc,glue_qnli,glue_qqp,glue_sst2,gsm8k,hyperbaton,intersect_geometry,machine_paraphrase_dataset,medmcqa,mmlu_combined,mmlu_pro,mnist_ascii,multistep_arithmetic,object_counting,openmathinstruct_2,overruling,qa_wikidata,qasc,quail,race_high,reasoning_about_colored_objects,sciq,sports_understanding,stackoverflow_questions,super_glue_boolq,super_glue_copa,super_glue_rte,super_glue_wic,super_glue_wsc,temporal_sequences,toxic_chat,tracking_shuffled_objects,tweet_eval_hate,tweet_topic_single,twitter_complaints,twitter_financial_news_sentiment,typescript_chunks,unarxive_imrad_clf,unit_conversion_si_conversion,web_of_lies,xnli_de,xnli_en,xnli_es,xnli_fr,xnli_hi,xnli_th
568,Umezaki/sft-qwen-ds5c-ep3-wd001-adapter,0.565356182795699,0.79,0.55,0.38,0.87,0.96,0.21,0.55,0.06,0.38,0.67,0.4,0.33,0.0,0.61,0.81,0.86,0.71,0.85,0.81,0.88,0.96,0.66,0.05,0.68,0.5,0.61,0.31,0.12,0.07,0.37,0.0,0.92,0.43,0.89,0.58,0.83,0.4,0.37,0.69,0.3020833333333333,0.85,0.68,0.81,0.7,0.6,0.45,0.94,0.17,0.64,0.83,0.88,0.67,0.87,0.33,0.14,0.54,0.59,0.7,0.65,0.64,0.44,0.51
569,Umezaki/sft-qwen-ds5d-ep3-alpha16-adapter,0.5604838709677419,0.8,0.54,0.42,0.8,0.92,0.22,0.55,0.06,0.36,0.61,0.4,0.33,0.0,0.62,0.82,0.83,0.72,0.85,0.81,0.88,0.95,0.66,0.06,0.63,0.48,0.58,0.3,0.14,0.07,0.35,0.0,0.93,0.42,0.84,0.57,0.84,0.4,0.37,0.67,0.25,0.83,0.69,0.76,0.7,0.62,0.44,0.93,0.25,0.64,0.83,0.87,0.67,0.84,0.33,0.17,0.51,0.58,0.71,0.66,0.66,0.48,0.53
570,Umezaki/sft-qwen-ds5e-epoch4-adapter,0.5657997311827957,0.79,0.54,0.4,0.86,0.95,0.23,0.55,0.07,0.37,0.63,0.4,0.33,0.0,0.6,0.81,0.85,0.72,0.84,0.8,0.88,0.95,0.65,0.06,0.66,0.51,0.59,0.31,0.12,0.07,0.34,0.0,0.92,0.46,0.87,0.58,0.84,0.42,0.4,0.67,0.23958333333333334,0.84,0.7,0.81,0.69,0.64,0.45,0.93,0.2,0.65,0.82,0.88,0.69,0.84,0.33,0.16,0.53,0.57,0.73,0.65,0.67,0.5,0.52
571,Umezaki/sft-qwen-ds5f-ep3-ls005-adapter,0.5611290322580649,0.8,0.56,0.41,0.84,0.93,0.25,0.55,0.08,0.33,0.55,0.42,0.33,0.01,0.57,0.82,0.84,0.7,0.86,0.81,0.88,0.95,0.54,0.06,0.7,0.49,0.6,0.32,0.08,0.04,0.36,0.0,0.92,0.44,0.88,0.62,0.81,0.45,0.37,0.69,0.25,0.84,0.67,0.8,0.67,0.67,0.46,0.92,0.25,0.63,0.81,0.86,0.64,0.87,0.32,0.14,0.51,0.63,0.7,0.63,0.59,0.52,0.55
572,Umezaki/sft-qwen-ds5g-steps585-adapter,0.5698655913978495,0.79,0.53,0.42,0.86,0.95,0.25,0.56,0.07,0.39,0.65,0.41,0.37,0.01,0.61,0.8,0.87,0.72,0.85,0.82,0.87,0.96,0.67,0.05,0.69,0.55,0.61,0.32,0.08,0.06,0.39,0.0,0.92,0.44,0.88,0.59,0.84,0.4,0.37,0.69,0.2916666666666667,0.85,0.71,0.83,0.69,0.58,0.45,0.94,0.24,0.64,0.81,0.88,0.67,0.83,0.33,0.16,0.53,0.59,0.71,0.65,0.63,0.46,0.55
573,Umezaki/sft-qwen-hard4k-adapter,0.5542069892473117,0.77,0.53,0.35,0.87,0.96,0.24,0.57,0.06,0.39,0.6,0.39,0.37,0.0,0.61,0.83,0.87,0.71,0.83,0.82,0.86,0.93,0.6,0.04,0.74,0.49,0.57,0.21,0.12,0.06,0.3,0.0,0.88,0.38,0.87,0.56,0.84,0.34,0.38,0.69,0.2708333333333333,0.82,0.63,0.85,0.71,0.6,0.54,0.96,0.17,0.62,0.79,0.83,0.66,0.84,0.34,0.14,0.34,0.58,0.71,0.65,0.64,0.46,0.58
574,Umezaki/sft-qwen-hp-optimized-ds4-adapter,0.5604637096774193,0.78,0.53,0.43,0.8,0.92,0.23,0.56,0.06,0.35,0.6,0.4,0.31,0.01,0.62,0.82,0.82,0.7,0.84,0.79,0.87,0.95,0.65,0.05,0.62,0.5,0.58,0.3,0.11,0.09,0.34,0.0,0.92,0.44,0.84,0.6,0.84,0.4,0.39,0.65,0.21875,0.83,0.66,0.77,0.71,0.62,0.43,0.93,0.28,0.64,0.81,0.89,0.67,0.87,0.33,0.19,0.49,0.61,0.71,0.68,0.68,0.53,0.49
575,Umezaki/sft-qwen-perfect-ds2-adapter,0.5658198924731183,0.78,0.55,0.41,0.88,0.97,0.25,0.6,0.07,0.38,0.64,0.41,0.37,0.0,0.61,0.82,0.87,0.71,0.83,0.81,0.87,0.93,0.67,0.05,0.71,0.54,0.59,0.29,0.11,0.06,0.37,0.0,0.92,0.41,0.88,0.58,0.82,0.34,0.39,0.69,0.2708333333333333,0.84,0.71,0.84,0.69,0.62,0.44,0.94,0.19,0.64,0.81,0.86,0.66,0.84,0.34,0.16,0.49,0.56,0.69,0.65,0.62,0.46,0.58
576,Umezaki/sft-qwen-perfect-ds3-1-adapter,0.571606182795699,0.81,0.55,0.41,0.89,0.97,0.24,0.59,0.1,0.4,0.7,0.4,0.34,0.01,0.61,0.83,0.87,0.72,0.85,0.83,0.88,0.94,0.67,0.05,0.69,0.53,0.59,0.32,0.1,0.06,0.38,0.0,0.91,0.44,0.87,0.58,0.84,0.39,0.4,0.69,0.23958333333333334,0.84,0.66,0.85,0.7,0.62,0.45,0.94,0.21,0.64,0.8,0.86,0.67,0.83,0.36,0.19,0.51,0.6,0.69,0.66,0.67,0.45,0.55
577,Umezaki/sft-qwen-perfect-ds3-adapter,0.5682190860215054,0.82,0.54,0.39,0.86,0.97,0.24,0.58,0.1,0.38,0.65,0.4,0.33,0.0,0.6,0.82,0.87,0.72,0.85,0.83,0.88,0.96,0.68,0.05,0.68,0.53,0.61,0.28,0.1,0.06,0.37,0.0,0.91,0.46,0.88,0.58,0.83,0.38,0.41,0.69,0.23958333333333334,0.85,0.69,0.83,0.71,0.62,0.44,0.94,0.23,0.63,0.81,0.86,0.66,0.85,0.36,0.16,0.49,0.56,0.7,0.63,0.67,0.46,0.55
578,Umezaki/sft-qwen-structeval-adapter,0.5646841397849464,0.78,0.56,0.41,0.85,0.96,0.26,0.6,0.07,0.39,0.65,0.39,0.3,0.0,0.61,0.82,0.84,0.72,0.83,0.81,0.87,0.94,0.66,0.0,0.81,0.5,0.58,0.29,0.1,0.07,0.32,0.01,0.91,0.45,0.91,0.58,0.84,0.36,0.37,0.68,0.2604166666666667,0.84,0.64,0.79,0.68,0.62,0.45,0.94,0.13,0.64,0.84,0.87,0.69,0.82,0.37,0.16,0.44,0.62,0.74,0.67,0.67,0.48,0.55
579,Umezaki/sft-qwen-v2-batch8-adapter,0.561915322580645,0.78,0.54,0.41,0.85,0.95,0.2,0.55,0.05,0.36,0.62,0.38,0.33,0.0,0.62,0.82,0.86,0.72,0.85,0.8,0.88,0.95,0.63,0.05,0.68,0.52,0.59,0.29,0.11,0.07,0.32,0.0,0.92,0.42,0.88,0.58,0.83,0.38,0.41,0.68,0.21875,0.83,0.7,0.79,0.71,0.63,0.43,0.93,0.18,0.65,0.83,0.89,0.67,0.82,0.35,0.15,0.54,0.61,0.71,0.65,0.67,0.46,0.54
580,Umezaki/sft-qwen-v2-ds1-adapter,0.5659811827956988,0.79,0.55,0.39,0.88,0.97,0.26,0.65,0.06,0.37,0.67,0.41,0.37,0.0,0.6,0.8,0.85,0.71,0.86,0.82,0.86,0.94,0.62,0.02,0.79,0.5,0.59,0.29,0.05,0.06,0.36,0.0,0.88,0.41,0.88,0.58,0.84,0.28,0.42,0.67,0.2708333333333333,0.84,0.7,0.86,0.69,0.59,0.47,0.95,0.19,0.64,0.81,0.84,0.67,0.83,0.34,0.16,0.48,0.61,0.73,0.65,0.64,0.47,0.61
581,Umezaki/sft-qwen-v2-ep3-adapter,0.5669354838709676,0.79,0.55,0.41,0.86,0.95,0.24,0.61,0.05,0.37,0.66,0.41,0.35,0.0,0.61,0.81,0.86,0.71,0.84,0.81,0.87,0.95,0.67,0.05,0.69,0.53,0.6,0.31,0.1,0.06,0.41,0.0,0.91,0.42,0.88,0.58,0.83,0.38,0.38,0.7,0.25,0.84,0.67,0.81,0.71,0.62,0.47,0.94,0.21,0.64,0.82,0.89,0.67,0.86,0.33,0.18,0.5,0.56,0.7,0.65,0.65,0.44,0.53
582,Umezaki/sft-qwen-v2-lora16-adapter,0.5693615591397849,0.79,0.54,0.41,0.86,0.97,0.24,0.57,0.06,0.38,0.66,0.42,0.35,0.0,0.6,0.82,0.86,0.73,0.84,0.8,0.88,0.96,0.67,0.05,0.71,0.54,0.62,0.28,0.12,0.06,0.38,0.0,0.91,0.42,0.89,0.58,0.84,0.38,0.38,0.7,0.2604166666666667,0.85,0.69,0.81,0.72,0.63,0.45,0.94,0.21,0.64,0.81,0.88,0.66,0.82,0.33,0.17,0.54,0.58,0.71,0.64,0.65,0.46,0.58
583,Umezaki/sft-qwen-v2-lora4-ep3-adapter,0.5635551075268815,0.78,0.56,0.25,0.78,0.86,0.25,0.66,0.07,0.36,0.61,0.38,0.37,0.01,0.6,0.83,0.85,0.72,0.82,0.82,0.87,0.97,0.71,0.07,0.82,0.52,0.59,0.28,0.1,0.06,0.41,0.01,0.88,0.37,0.9,0.54,0.83,0.32,0.38,0.67,0.2604166666666667,0.85,0.64,0.86,0.69,0.59,0.51,0.95,0.19,0.65,0.8,0.81,0.69,0.88,0.33,0.14,0.52,0.58,0.73,0.65,0.65,0.48,0.61
584,Umezaki/sft-qwen-v2-lora8-upsample-adapter,0.5722647849462364,0.79,0.55,0.39,0.87,0.97,0.27,0.61,0.07,0.37,0.7,0.4,0.37,0.0,0.61,0.82,0.87,0.71,0.84,0.81,0.87,0.94,0.71,0.04,0.76,0.52,0.6,0.29,0.09,0.06,0.43,0.0,0.92,0.42,0.88,0.59,0.84,0.35,0.38,0.68,0.2604166666666667,0.84,0.69,0.83,0.71,0.61,0.44,0.95,0.24,0.63,0.82,0.87,0.67,0.85,0.33,0.16,0.55,0.58,0.69,0.66,0.64,0.45,0.62
585,Umezaki/sft-qwen-v2-lora8-upsample-fixed-adapter,0.5611290322580644,0.77,0.55,0.25,0.8,0.86,0.26,0.66,0.09,0.38,0.61,0.39,0.36,0.01,0.6,0.82,0.84,0.71,0.81,0.82,0.86,0.95,0.73,0.05,0.81,0.51,0.58,0.29,0.08,0.06,0.41,0.01,0.88,0.4,0.9,0.53,0.83,0.29,0.37,0.67,0.25,0.85,0.62,0.86,0.69,0.6,0.48,0.94,0.2,0.63,0.79,0.82,0.69,0.88,0.34,0.15,0.49,0.58,0.73,0.65,0.66,0.48,0.61
586,Umezaki/sft-qwen-v2-lr2e5-adapter,0.56565188172043,0.79,0.54,0.42,0.86,0.96,0.23,0.57,0.06,0.35,0.61,0.38,0.33,0.0,0.61,0.8,0.85,0.71,0.84,0.8,0.88,0.97,0.64,0.05,0.67,0.51,0.61,0.29,0.09,0.08,0.38,0.0,0.93,0.43,0.89,0.6,0.83,0.41,0.42,0.68,0.2604166666666667,0.84,0.72,0.79,0.69,0.65,0.44,0.93,0.22,0.65,0.83,0.88,0.66,0.84,0.33,0.14,0.53,0.59,0.69,0.65,0.62,0.48,0.57
587,Umezaki/sft-qwen-v2-nef1-adapter,0.5727620967741935,0.78,0.54,0.36,0.88,0.96,0.26,0.65,0.08,0.36,0.66,0.41,0.42,0.01,0.59,0.83,0.85,0.7,0.85,0.82,0.86,0.95,0.66,0.05,0.78,0.55,0.6,0.32,0.09,0.06,0.43,0.01,0.91,0.42,0.88,0.57,0.84,0.36,0.4,0.67,0.28125,0.83,0.71,0.84,0.7,0.59,0.46,0.95,0.21,0.64,0.81,0.86,0.68,0.88,0.35,0.16,0.52,0.58,0.71,0.66,0.64,0.47,0.56
588,Umezaki/sft-qwen-v2-noup-adapter,0.5688844086021504,0.78,0.54,0.39,0.87,0.96,0.24,0.56,0.08,0.37,0.65,0.41,0.37,0.0,0.6,0.82,0.87,0.71,0.84,0.81,0.87,0.95,0.63,0.04,0.75,0.53,0.61,0.31,0.1,0.06,0.38,0.0,0.91,0.43,0.89,0.58,0.84,0.35,0.4,0.69,0.2708333333333333,0.84,0.71,0.84,0.71,0.62,0.47,0.95,0.21,0.65,0.81,0.87,0.68,0.83,0.34,0.15,0.55,0.58,0.69,0.66,0.61,0.47,0.57
589,Umezaki/sft-qwen-v2-upsample-enhanced-adapter,0.5633870967741935,0.77,0.54,0.24,0.79,0.89,0.25,0.6,0.08,0.37,0.61,0.38,0.36,0.01,0.6,0.84,0.85,0.71,0.8,0.82,0.86,0.95,0.69,0.05,0.8,0.52,0.58,0.29,0.09,0.05,0.42,0.01,0.88,0.43,0.9,0.57,0.84,0.28,0.41,0.67,0.25,0.85,0.67,0.86,0.69,0.62,0.5,0.94,0.22,0.65,0.79,0.81,0.69,0.87,0.35,0.11,0.54,0.61,0.73,0.65,0.64,0.48,0.61
590,Uranos8685/LLM-Advance-lora-repo_02,0.47193548387096784,0.8,0.38,0.28,0.84,0.93,0.17,0.57,0.05,0.24,0.28,0.36,0.33,0.0,0.59,0.84,0.73,0.72,0.73,0.83,0.81,0.8,0.44,0.0,0.36,0.5,0.43,0.1,0.0,0.04,0.08,0.0,0.87,0.32,0.55,0.42,0.78,0.1,0.4,0.66,0.0,0.76,0.53,0.77,0.72,0.62,0.26,0.87,0.23,0.59,0.68,0.9,0.51,0.78,0.28,0.2,0.47,0.55,0.61,0.49,0.53,0.33,0.25
591,Uranos8685/LLM-Advance-lora-repo_03,0.5220094086021505,0.78,0.37,0.38,0.84,0.95,0.17,0.65,0.05,0.3,0.42,0.38,0.37,0.06,0.61,0.85,0.82,0.7,0.8,0.81,0.85,0.93,0.52,0.01,0.75,0.52,0.53,0.16,0.0,0.08,0.08,0.0,0.9,0.35,0.82,0.39,0.81,0.17,0.41,0.71,0.11458333333333333,0.77,0.52,0.83,0.69,0.63,0.2,0.91,0.27,0.61,0.73,0.9,0.6,0.83,0.27,0.18,0.45,0.61,0.71,0.64,0.72,0.43,0.45
592,Uranos8685/LLM-Advance-lora-repo_04,0.566149193548387,0.79,0.56,0.4,0.86,0.95,0.27,0.59,0.05,0.33,0.6,0.41,0.37,0.01,0.64,0.83,0.86,0.71,0.82,0.8,0.86,0.95,0.77,0.07,0.74,0.52,0.6,0.26,0.09,0.09,0.37,0.0,0.9,0.4,0.89,0.55,0.84,0.27,0.36,0.7,0.28125,0.82,0.66,0.83,0.7,0.64,0.45,0.94,0.2,0.64,0.81,0.88,0.68,0.86,0.32,0.19,0.57,0.61,0.67,0.62,0.62,0.47,0.56
593,UtsuSl0th/your-lora-repo,0.5587163978494624,0.8,0.55,0.37,0.86,0.96,0.28,0.58,0.05,0.4,0.59,0.4,0.34,0.0,0.61,0.84,0.87,0.74,0.8,0.8,0.87,0.93,0.71,0.01,0.77,0.47,0.55,0.23,0.11,0.06,0.29,0.01,0.88,0.41,0.87,0.49,0.83,0.25,0.37,0.67,0.2604166666666667,0.84,0.55,0.83,0.67,0.63,0.46,0.93,0.22,0.65,0.81,0.87,0.71,0.83,0.35,0.12,0.55,0.62,0.75,0.64,0.67,0.51,0.55
594,WassyO/qwen3-4b-instruct-dpo-from-sft-4096,0.5695228494623656,0.79,0.54,0.43,0.85,0.96,0.23,0.59,0.05,0.4,0.67,0.42,0.37,0.0,0.63,0.8,0.86,0.71,0.84,0.8,0.88,0.95,0.67,0.06,0.72,0.54,0.61,0.31,0.09,0.07,0.34,0.0,0.92,0.42,0.9,0.57,0.83,0.37,0.38,0.68,0.2604166666666667,0.84,0.69,0.83,0.7,0.63,0.48,0.94,0.23,0.65,0.81,0.88,0.66,0.84,0.33,0.18,0.53,0.6,0.7,0.65,0.62,0.45,0.56
595,WassyO/qwen3-4b-instruct-dpo-from-sft-4096_u-10bei_9datasets,0.5097446236559141,0.78,0.53,0.44,0.83,0.94,0.27,0.55,0.05,0.27,0.44,0.38,0.28,0.01,0.6,0.79,0.71,0.8,0.77,0.79,0.87,0.91,0.66,0.02,0.59,0.44,0.44,0.17,0.11,0.1,0.4,0.0,0.94,0.47,0.8,0.46,0.78,0.46,0.39,0.67,0.10416666666666667,0.78,0.47,0.66,0.6,0.49,0.31,0.71,0.19,0.58,0.84,0.91,0.56,0.88,0.19,0.16,0.51,0.44,0.57,0.5,0.54,0.31,0.39
596,WassyO/qwen3-4b-instruct-dpo-from-sft-4096_u-10bei_v5,0.566135752688172,0.8,0.56,0.38,0.85,0.97,0.3,0.59,0.06,0.42,0.65,0.4,0.34,0.0,0.6,0.8,0.86,0.7,0.81,0.81,0.87,0.93,0.66,0.02,0.8,0.51,0.6,0.31,0.09,0.06,0.39,0.01,0.91,0.41,0.9,0.58,0.86,0.31,0.36,0.65,0.2604166666666667,0.84,0.65,0.83,0.7,0.63,0.47,0.93,0.2,0.65,0.84,0.88,0.68,0.79,0.34,0.17,0.5,0.6,0.7,0.64,0.64,0.46,0.57
597,XKilin/05_lora-qwen3-4b-v4-r128-lr1e4-len1024-ep2,0.5263104838709677,0.76,0.53,0.38,0.8,0.95,0.33,0.59,0.05,0.38,0.55,0.37,0.32,0.0,0.63,0.8,0.77,0.81,0.73,0.82,0.87,0.79,0.6,0.0,0.7,0.44,0.55,0.11,0.08,0.04,0.18,0.01,0.91,0.39,0.84,0.37,0.81,0.22,0.34,0.72,0.28125,0.81,0.58,0.75,0.64,0.59,0.4,0.92,0.21,0.61,0.71,0.85,0.66,0.77,0.2,0.13,0.48,0.55,0.7,0.58,0.62,0.49,0.56
598,XKilin/06_double_dataset,0.4783669354838709,0.73,0.45,0.38,0.75,0.88,0.27,0.54,0.09,0.23,0.42,0.47,0.31,0.0,0.57,0.79,0.55,0.79,0.74,0.81,0.8,0.77,0.64,0.0,0.62,0.41,0.38,0.16,0.09,0.09,0.14,0.0,0.91,0.32,0.72,0.49,0.76,0.33,0.38,0.57,0.21875,0.73,0.55,0.63,0.55,0.5,0.55,0.92,0.24,0.58,0.64,0.9,0.43,0.74,0.18,0.13,0.48,0.39,0.47,0.36,0.49,0.29,0.34
599,XKilin/08_epoc2_etc,0.5038709677419355,0.82,0.45,0.36,0.8,0.92,0.3,0.52,0.01,0.16,0.45,0.47,0.36,0.0,0.66,0.82,0.6,0.78,0.72,0.82,0.81,0.93,0.61,0.01,0.63,0.44,0.45,0.16,0.08,0.09,0.14,0.0,0.87,0.33,0.71,0.57,0.76,0.43,0.4,0.52,0.25,0.76,0.55,0.65,0.58,0.56,0.42,0.94,0.24,0.55,0.8,0.89,0.66,0.87,0.26,0.16,0.49,0.41,0.55,0.43,0.54,0.34,0.38
600,XKilin/09_epoc2_etc,0.5048655913978496,0.83,0.44,0.35,0.82,0.93,0.28,0.5,0.02,0.18,0.37,0.45,0.36,0.0,0.63,0.81,0.62,0.78,0.72,0.83,0.81,0.88,0.61,0.0,0.63,0.45,0.45,0.12,0.07,0.1,0.16,0.0,0.88,0.32,0.73,0.59,0.77,0.42,0.43,0.53,0.2916666666666667,0.77,0.57,0.66,0.59,0.52,0.4,0.95,0.29,0.54,0.79,0.89,0.69,0.86,0.26,0.19,0.5,0.42,0.57,0.47,0.51,0.33,0.37
601,XKilin/SFT_LR_SFT-1e4_EPOCHS-2,0.5026142473118279,0.73,0.47,0.39,0.83,0.92,0.32,0.6,0.04,0.22,0.49,0.41,0.35,0.03,0.62,0.78,0.64,0.75,0.62,0.83,0.78,0.88,0.61,0.0,0.61,0.39,0.41,0.13,0.11,0.08,0.2,0.02,0.91,0.36,0.68,0.57,0.78,0.37,0.32,0.53,0.3020833333333333,0.75,0.49,0.64,0.66,0.58,0.33,0.94,0.21,0.56,0.79,0.89,0.63,0.85,0.25,0.06,0.53,0.46,0.65,0.5,0.56,0.36,0.39
602,XKilin/SFT_LR_SFT-1e4_EPOCHS-2_v2,0.4602150537634408,0.7,0.33,0.31,0.84,0.97,0.27,0.62,0.05,0.27,0.59,0.4,0.29,0.01,0.61,0.81,0.58,0.7,0.66,0.8,0.85,0.76,0.67,0.0,0.61,0.5,0.42,0.13,0.02,0.07,0.09,0.0,0.86,0.33,0.78,0.48,0.78,0.28,0.36,0.65,0.08333333333333333,0.81,0.46,0.71,0.62,0.59,0.32,0.9,0.09,0.31,0.64,0.86,0.64,0.88,0.26,0.15,0.24,0.27,0.34,0.23,0.33,0.16,0.19
603,YAI777/LLMlec-FinalAssign_YAI_2025,0.5319556451612903,0.78,0.53,0.35,0.85,0.94,0.32,0.65,0.05,0.25,0.5,0.37,0.35,0.0,0.64,0.79,0.71,0.73,0.71,0.81,0.81,0.94,0.64,0.01,0.74,0.44,0.53,0.17,0.1,0.09,0.18,0.0,0.94,0.38,0.79,0.53,0.79,0.32,0.35,0.54,0.28125,0.76,0.55,0.67,0.66,0.65,0.36,0.95,0.19,0.59,0.85,0.89,0.67,0.86,0.27,0.1,0.52,0.59,0.71,0.61,0.65,0.47,0.51
604,Yano/qwen3-4b-structured-output-lora-sy007,0.5520900537634407,0.79,0.55,0.37,0.88,0.97,0.25,0.6,0.05,0.35,0.66,0.36,0.33,0.0,0.59,0.82,0.86,0.73,0.8,0.81,0.86,0.95,0.69,0.0,0.72,0.5,0.56,0.25,0.1,0.07,0.32,0.0,0.9,0.37,0.87,0.5,0.83,0.33,0.38,0.68,0.23958333333333334,0.83,0.62,0.78,0.68,0.58,0.48,0.94,0.21,0.64,0.83,0.87,0.69,0.81,0.34,0.13,0.4,0.56,0.7,0.65,0.66,0.44,0.5
605,Yano/qwen3-4b-structured-output-lora-sy011,0.5595295698924729,0.8,0.56,0.37,0.88,0.97,0.24,0.63,0.06,0.34,0.66,0.38,0.33,0.0,0.61,0.8,0.86,0.73,0.82,0.8,0.86,0.95,0.66,0.02,0.73,0.51,0.57,0.29,0.09,0.06,0.34,0.0,0.91,0.41,0.87,0.5,0.83,0.32,0.39,0.7,0.2708333333333333,0.84,0.66,0.81,0.68,0.62,0.49,0.95,0.21,0.65,0.83,0.86,0.69,0.79,0.36,0.15,0.44,0.59,0.67,0.65,0.63,0.45,0.55
606,YasKoga/qwen3-4b-structured-output-lora_v05,0.568239247311828,0.81,0.54,0.44,0.86,0.96,0.26,0.59,0.05,0.38,0.58,0.39,0.36,0.01,0.63,0.84,0.85,0.71,0.89,0.8,0.85,0.96,0.65,0.03,0.68,0.51,0.62,0.3,0.1,0.1,0.38,0.0,0.92,0.43,0.87,0.6,0.83,0.37,0.39,0.67,0.2708333333333333,0.82,0.74,0.84,0.71,0.64,0.42,0.95,0.25,0.65,0.81,0.88,0.69,0.86,0.33,0.19,0.54,0.56,0.67,0.6,0.61,0.46,0.53
607,YasKoga/qwen3-4b-structured-output-lora_v15,0.5548588709677418,0.79,0.55,0.37,0.9,0.96,0.23,0.62,0.07,0.38,0.61,0.4,0.4,0.0,0.61,0.8,0.87,0.7,0.85,0.78,0.87,0.94,0.63,0.03,0.77,0.51,0.57,0.19,0.09,0.05,0.29,0.0,0.9,0.4,0.89,0.58,0.84,0.27,0.37,0.7,0.28125,0.83,0.62,0.83,0.7,0.63,0.51,0.95,0.23,0.63,0.8,0.86,0.66,0.88,0.35,0.16,0.18,0.58,0.7,0.63,0.61,0.46,0.54
608,YasKoga/qwen3-4b-structured-output-lora_v5,0.5614583333333334,0.81,0.52,0.43,0.84,0.95,0.26,0.63,0.05,0.35,0.57,0.39,0.41,0.01,0.65,0.82,0.84,0.7,0.85,0.79,0.85,0.93,0.74,0.07,0.69,0.52,0.64,0.21,0.1,0.09,0.33,0.0,0.94,0.38,0.89,0.54,0.84,0.27,0.43,0.64,0.2604166666666667,0.81,0.67,0.79,0.68,0.71,0.42,0.94,0.21,0.63,0.8,0.9,0.69,0.84,0.31,0.18,0.5,0.6,0.67,0.6,0.62,0.49,0.52
609,Yasuyuki-Saito/default,0.5727553763440862,0.79,0.54,0.39,0.87,0.95,0.27,0.65,0.07,0.38,0.63,0.4,0.4,0.01,0.61,0.82,0.85,0.7,0.85,0.81,0.86,0.97,0.67,0.06,0.8,0.5,0.61,0.31,0.11,0.06,0.44,0.01,0.91,0.41,0.89,0.59,0.84,0.35,0.4,0.67,0.2708333333333333,0.83,0.7,0.85,0.7,0.59,0.48,0.95,0.21,0.64,0.81,0.84,0.68,0.85,0.35,0.17,0.51,0.57,0.71,0.65,0.63,0.47,0.6
610,Yst02/0normal,0.5634206989247313,0.81,0.53,0.39,0.86,0.95,0.29,0.7,0.06,0.36,0.52,0.41,0.36,0.0,0.66,0.85,0.84,0.72,0.81,0.8,0.86,0.94,0.72,0.05,0.77,0.49,0.58,0.21,0.09,0.07,0.33,0.0,0.92,0.44,0.9,0.52,0.83,0.3,0.4,0.67,0.3020833333333333,0.81,0.63,0.84,0.69,0.67,0.41,0.94,0.17,0.64,0.8,0.87,0.68,0.87,0.28,0.18,0.43,0.59,0.72,0.65,0.68,0.49,0.58
611,Yuka0625/LLm-adv,0.5630645161290324,0.8,0.57,0.37,0.87,0.97,0.26,0.59,0.07,0.39,0.64,0.4,0.37,0.01,0.6,0.82,0.86,0.72,0.8,0.82,0.88,0.93,0.71,0.07,0.64,0.51,0.64,0.27,0.1,0.08,0.41,0.0,0.89,0.46,0.87,0.52,0.84,0.33,0.39,0.7,0.25,0.85,0.61,0.78,0.69,0.63,0.52,0.93,0.17,0.63,0.78,0.84,0.68,0.83,0.35,0.15,0.51,0.57,0.68,0.63,0.63,0.46,0.57
612,Yukki000/qwen3-sft-learningrate1e3,0.5209744623655913,0.77,0.53,0.26,0.77,0.88,0.3,0.61,0.01,0.23,0.5,0.39,0.33,0.19,0.65,0.79,0.62,0.79,0.79,0.84,0.75,0.8,0.45,0.09,0.58,0.39,0.52,0.24,0.13,0.2,0.22,0.02,0.92,0.46,0.77,0.57,0.79,0.48,0.46,0.59,0.2604166666666667,0.78,0.71,0.74,0.59,0.56,0.45,0.78,0.17,0.56,0.72,0.94,0.69,0.59,0.16,0.07,0.47,0.56,0.66,0.58,0.59,0.48,0.51
613,Yukki000/qwen3-sft-ver10,0.4771034946236557,0.78,0.46,0.36,0.73,0.83,0.3,0.53,0.03,0.2,0.39,0.39,0.29,0.03,0.59,0.76,0.63,0.74,0.65,0.63,0.77,0.89,0.57,0.0,0.6,0.36,0.49,0.13,0.13,0.11,0.19,0.01,0.9,0.34,0.52,0.5,0.73,0.36,0.34,0.54,0.2604166666666667,0.74,0.47,0.66,0.52,0.52,0.5,0.94,0.24,0.58,0.72,0.81,0.63,0.88,0.22,0.2,0.45,0.39,0.45,0.41,0.41,0.39,0.39
614,Yukki000/qwen3-sft-ver11,0.5312970430107528,0.75,0.52,0.36,0.83,0.94,0.33,0.59,0.05,0.25,0.49,0.36,0.33,0.0,0.6,0.79,0.72,0.68,0.78,0.83,0.82,0.96,0.61,0.06,0.76,0.43,0.56,0.17,0.13,0.1,0.25,0.0,0.92,0.4,0.77,0.5,0.81,0.34,0.37,0.53,0.2604166666666667,0.75,0.58,0.68,0.6,0.66,0.35,0.94,0.26,0.6,0.81,0.9,0.68,0.85,0.29,0.16,0.51,0.57,0.67,0.6,0.61,0.44,0.48
